writer,title,views,likes,comments,content
Cfkde,서합률 0% 어떤 걸 준비하면 좋을까요..,121,0,3,"국립대 4년제 공대(컴공x)고 정처기,adsp,컴활 2급, 토스 im2 있습니다
경력은 2년 4개월 있습니다 개발자로 취직했는데 유지보수 업무만 해서 신입으로 지원하고 있어요
2022년에는 이력서 5개 넣으면 2개는 붙었던거같은데 지금은 10개 넣어도 0개네요 코딩테스트 같이 준비하고있는데 예선부터 탈락합니다 ㅎ..
어떤 걸 하면 좋을까요
토익스피킹 점수 ih까지 올리기
계속 자소서 수정하면서 코딩테스트, 면접준비하기
프로젝트 하기"
ICKOM,개발자로 실력이 없으면 잡일을 많이 주는건가요..?,153,0,7,"안녕하세요 선배님들! 아래 글을 작성했던 경력직으로 이직한 사람? 입니다..!
https://okky.kr/articles/1518177

저 글을 작성하고 벌써 2개월이 흘러서 3개월을 채웠네요.. 시간 참 빠릅니다.. 저 글을 쓰고 낮에는 잡일 하고 저녁엔 코드를 보면서 시간을 보냈습니다. 오늘도 야근하면서 코드 보다가 현타가 와서 이렇게 글을 씁니다.. 잡일 리스트를 적어보자면,,
1. 스티커 라벨 제작해서 기기에 하나씩 다 붙이기(기구 도안? 을 받아서 라벨 디자인 후 출력해서 자른뒤에 부였습니다.)
2. 회사 내 테스트 제품 하나씩 안테나 해제하기 & 조립하기
3. 분리수거 하기(이건 격주로 제가 합니다.)
4. LED 고무링 끼우기(LED 몇백개를 하나하나 고무링? 같은걸 껴줍니다.)
5... 택배 보내기 등등등
업무시간에 계속 불려다니고 한분이 아니라 여러분이 이것저것 주시고 1,2,4번같은 경우는 몇개, 몇십개가 아니라 400~800개정도 수량을 주십니다. 그래도 어찌저찌 야근을 하면서 코드 분석을 하고 블록다이어그램을 그리고 있는데 지나가시면서 ""그렇게 정리해도 이해하기 어려울텐데ㅎㅎ"" 하시면서 지나가는데 멘탈이 흔들리더라구여.. 전 댓글에서 말해주신대로 선임님분들한테 궁금한 부분을 물어봐도 코드 보면 된다 하고 더이상 피드백이 없습니다.
이번엔 한번 사용해봤던 툴이 있었는데(요것도 노가다 하면서 스치듯 배웠습니다..ㅎ) 이 툴 기능들을 정리해서 생산 공장으로 혼자 2~3일정도 출근해서 교육을 하라고 요청 받았습니다.
댓글들을 보면서 기술도 좋고 매출도 좋으니 어떤식으로든 적응하면서 남아볼려는데 3개월째 이렇게 회사를 다니니 의욕도 없고 뭘 하는지 모르겠습니다.. 몇개는 막내로 그냥 그러려니 하지만 라벨 디자인부터 제작 이런 걸로 시간을 보내는게 너무 많다보니 현타가 오네요..
이정도면 제가 실력이 없어서 잡일을 시키는건지 궁금하기도 합니다. 다른 선배님들의 생각은 어떤지 궁금해서 이렇게 긴 글을 작성했습니다. 긴 글 읽어주신 모든 분들께 정말 감사합니다."
케이Kei님,강남역 웹 개발 스터디 모집!,77,0,0,"안녕하세요!

2025년에 개발 관련 새로운 목표를 만들어보고 싶은 분들을 위해
개발 스터디 인원을 충원하고자 모집글을 올리게 되었습니다.

ㅇ 대상 : 개발 실력은 부족해도 열정 및 의지가 있다면 얼마든지 참여 가능
ㅇ 나이 : 91년생까지 (스터디 멤버 평균 연령이 어려 20대 후반 30대 초반 멤버를 모집합니다)
ㅇ 원하는 포지션 : 프론트 엔드 (스터디는 백엔드랑 같이 하지만 프론트 엔드를 우선적으로 선발합니다)
ㅇ 스터디 내용
- 프론트/백 엔드 기본 개념 스터디 (언어 : React, JavaScript, Spring을 우선적으로 시작)
- 팀 프로젝트 진행 (디자이너/기획자 합류 예정)
ㅇ 스터디 목표
- 팀프로젝트를 넘어서 멤버들간의 캐미가 잘 맞으면 하나의 IT 커뮤니티로 키울 계획입니다.
ㅇ 모집 방식
- 아래 오픈 톡을 클릭해 간단한 자기소개를 남겨주시면 줌 미팅 후에 최종 합류 여부를 결정하고자 합니다.
ㅇ 운영 방식
- 매주 토요일 오후 1시 반 ~ 4시 반 온/오프라인 병행
- 마지막주 토요일은 휴무

아래 링크를 클릭해주세요!
https://open.kakao.com/o/sMfJrUZg"
캐티,유래가 학습되지 않은 ai,63,0,2,"iliililillililil 와 유사하게 작명된 아이디의 유래가 무엇일까
""iliililillililil"" 같은 아이디는 주로 반복되는 문자 패턴으로, 사용자가 기억하기 쉬운 독특한 형태를 만들기 위해 고안된 것일 수 있어요. 이런 스타일은 종종 개인의 취향이나 유머 감각을 반영하기도 합니다.
더 궁금한 점이 있나요? :)
iliililillililil 와 같은 아이디의 유래를 정확히 알기는 어렵지만, 보통 이런 유형의 아이디는 보안 강화 또는 특정한 패턴을 통해 쉽게 기억하기 위한 목적으로 사용되곤 합니다. 예를 들어, 소문자 L과 대문자 I가 섞여 있는 경우, 봇이나 해커의 자동화된 공격을 피하는 데 도움이 될 수 있습니다. 또한, 이런 패턴을 통해 독특하고 기억하기 쉬운 아이디를 만들려는 시도일 수도 있죠. 😊
혹시 아이디를 만들거나 변경하려는 계획이 있으신가요? 필요한 도움을 드릴 수 있어요!
여담으로 생각해 놓은 ai 구현 방식이 있는데 .. 돈이 앵간하게 들어가야 하여서 하기 참 어렵스빈다."
Theo,(무료) [소프트웨어 엔지니어 멘토링] - Beyond beginner Engineering,83,1,0,"안녕하세요, 개발자 테오(Theo)입니다.

기존에 여러 교육/멘토링 플랫폼에서 해오던 강의와 멘토링을 잠시 쉬고 있던 중 오랜만에 잠깐 여유가 생겨 커리어/기술 분야에 대한 멘토링을 해보고자 합니다. (비용 무료입니다.)

멘토링은 커리큘럼이 정해진 강의가 아닙니다. 필요한 도움이 명확하고, 제가 그 도움을 드릴 수 있다면 1:1 또는 2:1 정도의 규모로 이력서 첨삭부터 ‘스스로 생각하고 판단할 수 있는 개발자가 되기 위한 방법’, ‘지속 가능한 개발자가 되기 위한 방법’에 대해서 주로 이야기합니다.

[이런 분이면 좋습니다.]
Frontend/Backend 영역과 웹 환경에 대한 깊은 이해를 토대로 제품 개발에 기여하고 싶으신 분
빠르게 변하는 고객과 팀의 요구사항에 맞춰 현재 상황에서 최선의 해결책을 찾아 문제를 해결하고 싶으신 분
시장과 사용자의 문제에 집중하며 복잡한 도메인을 유연한 시스템으로 풀어내는 역량을 갖추고 싶으신 분
조직의 생산성을 높이기 위한 문화 또는 프로세스를 만들기 위한 고민을 하고 있으신 분
꾸준한 기술적 성장을 추구하시는 분
그 외 다양한 기술적, 커리어적인 고민을 하고 있으신 분
 자세한 내용은 아래 링크 참고 부탁드립니다. 🙂
https://weekly-academy.notion.site/Beyond-beginner-Engineering-0aa5fa7645354742af6a91f88ef07a63?pvs=4"
레오파파,플젝 서류검토 얼마나 걸리나,101,0,2,"ㅂㄷ방을 통해 연락을 받아 플젝 지원을 한 상태입니다
케바케겠지만, 보통 몇일만에 연락이 오나요?
물론, 서류 탈락인 경우 연락을 아예 안주는 경우도 있고,
프리 서류전형은 결과가 빨리 나오는 경우가 많았는데요
다른 분들은 어떤지 궁금합니다"
kenu,"`윈도우 개발환경 셋업` 기획은 10월에 했는데, 완성하기 힘드네요.",73,0,4,"mac만 주로 10년 넘게 사용하다 보니
윈도우 개발환경의 한계가 너무 어려워서 만들고 있는데,
정말 쉽지 않네요. ㅠㅠ
https://bit.ly/windevset


이렇게 살고 있습니다."
chalico,"Nextstep TDD, 클린 코드 with Java 수강생분들 중 스터디하실 분을 모집합니다.",59,0,0,"스터디 주제 : Nextstep 클린코드TDD 스터디
스터디 목표 : TDD 연습
모집대상 :
강의를 수강했던 수강생만 지원바랍니다.
예상 스터디 일정(횟수) :
주 1회 (2시간)
예상 커리큘럼 간략히 :
1 ~ 2월
 예상 모집인원 : 3~4명
스터디 소개와 개설 이유 :
야근을 핑계로 수업에 많이 참여를 못했습니다. 이렇게 스터디를 결성해서라도 복습을 하고자 합니다.
스터디 관련 주의사항 :
보증금과 벌금을 정할 예정입니다. (카카오 모임통장)
책임감을 갖기 위해 실명과 연락처를 공개합니다.
스터디장 소개
SQLP자격증 취득, DB에 관심이 많습니다
스프링로드맵 정주행중 (고급편, 스프링부트편을 학습하고 있습니다)
카카오 오픈채팅방 : https://open.kakao.com/o/shQzz84g"
leon808,다들 크리스마스 즈음에 무얼 하시나요?,112,1,4,"저는 1n년째 늘 하던대로 고향에 돌아가
아버지 일 도와 짐 나르고 포터 몰고
어머니 일 도와 피자 만들러 갑니다

이번엔 원래부터 고향에 있는게 아니고
대학이 아닌 연차를 낸 현 개발자
전 피자 외 자영업 장인으로 돌아가네요

그나마 최근 몇년간 좋아진건
제가 피자 만들고 주문 받고 배달하는거 다 할 필요 없이
배달 대행을 맡기면 된다인거에요

오키 여러분은 어떻게 보내시나요? 궁금합니다"
정규분포,TIL 노상범대표님이 OKKY 대표라는 사실,292,2,2,"sbroh님이 쓰는 글들이 계속 베스트에 넘어가서 의아해 했는데, 다 이유가 있었더라고요. 아님 나만 몰랐나 봅니다.
개인 페북을 가보니 정치얘기를 즐겨하시는 것 같은데, okky라는 플렛폼은 남용해서 정치판 dumpster fire로 만들지 않으시는 것도 대단한거 같습니다. 나 어렸을 때는 그렇게 하기 어려웠을 거고, 심지어 점잖은 유명 유튜버들도 그런 자제를 못하는 모습이 가끔 보이는데 말이죠.
okky라는 장수 커뮤니티의 규모가 아직도 많이 커지지 않은 것을 보면 (뭐 커뮤니티 자체도 딱히 큰 장점이 없는 것일 수도 있지만), 한국이 확실히 IT 산업 불모지라는 사실이 아닌 듯도 합니다? 다른 개발 관련 커뮤니티도 보면 장수는 해도 트래픽이 없어서 파리날리는 분위기가 많아요. 열정이 넘치는 분들은 가끔씩 보이는데, 사람들이 없어서 다들 어색하게 떠나는 안타까운 현실. 실력 좀 있으면 대부분 영어권 커뮤니티로 떠나나 봅니다.
거의 20년 가까이 포기하실 법도 한데 계속 유지하시는거 대단하십니다. 한국 문화가 더 발전해서 okky 같은 커뮤니티의 규모가 커지는 날이 오겠죠?

일과 시작하기 전에 몸풀기로 open letter를 올려드림."
