title,author,company,price,imageUrl,summary
2026 권은성 ZOOM 전공체육 스포츠교육학,권은성,박문각,21600,https://image.yes24.com/goods/140293770/XL,"『2026 권은성 ZOOM 전공체육 스포츠교육학』은 교원 임용후보자 선정경쟁시험을 준비하는 예비 체육교사들을 위해 집필된 기본서이다. 본서는 학습 효율을 높이기 위해 스포츠교육학의 핵심을 체계적으로 정리하였으며, 키워드별로 기출사항을 표시하여 출제 비중을 살필 수 있도록 구성하였다. 또한 복잡한 개념을 직관적으로 이해할 수 있도록 다양한 표와 그림을 배치하였다. 특히 2026 개정판에서는 측정통계평가를 분리하여 스포츠교육학에 더욱 초점을 맞추었으며, 부록으로 국가 교육과정의 핵심을 실었다. 수험생들은 본서를 통해 교원임용시험 합격에 도달할 수 있을 것이다."
2025 해커스 GSAT 삼성직무적성검사 통합 기본서 최신기출유형+실전모의고사 (수리/추리),해커스 GSAT 취업교육연구소,해커스잡,21600,https://image.yes24.com/goods/140293615/XL,"한 권으로 최신기출유형부터 실전까지 3일 완성!
온라인 GSAT 수리/추리 영역 완벽 대비!
GSAT 최신기출유형 공략부터 실전까지! 전략적 학습으로 단기 합격. GSAT 완전 정복! 체계적인 3단계 학습 시스템. 합격 가능성을 높이는 취약 유형 극복 프로그램. 다양한 학습 콘텐츠로 전략적 학습 가능! GSAT 전 영역 필수이론과 삼성 시사 이슈를 한 권에! [GSAT 핵심 정리 핸드북]."
2025 해커스공무원 함수민 행정법총론 진도별 모의고사,함수민,해커스공무원,18000,https://image.yes24.com/goods/140293553/XL,"『2025 해커스공무원 함수민 행정법총론 진도별 모의고사』는 실제 시험과 유사한 형태로 구성한 진도별 문제들을 통해 출제포인트를 익히고 실전감각을 키울 수 있는 문제풀이 교재입니다. 2025년 7, 9급 공무원 / 국회직 / 군무원 / 소방 시험 대비! 공무원 행정법총론 최신 출제경향을 반영했다. 시험장에서 마주할 실전을 그대로 보여주는 진도별 모의고사 16회분을 수록했다. 상세한 문제풀이와 연관 개념 정리 다 되는 알찬 해설을 담았다. 함께 정리하기와 유제를 활용한 공무원 행정법총론 학습 마무리. 학습 효율을 높이고, 취약점까지 파악할 수 있는 무료 모바일 자동 채점 + 성적 분석 서비스를 제공한다."
2025 해커스공무원 국(局)경제학 15개년 기출문제집,김종국,해커스공무원,42300,https://image.yes24.com/goods/140293529/XL,공무원 경제학의 기출문제와 상세한 해설을 통해 출제 포인트를 익히고 실전 감각을 키울 수 있는 문제 풀이 교재. 2025년 공무원 경제학 시험 대비! 최근 15개년 경제학 주요 기출문제 직렬-연도별 수록. 출제POINT 제시+ 상세한 문제풀이 + 연관 개념 정리 다 되는 만능 해설. 경제학 빈출 계산문제 108제 및 기출변형문제 575제 수록. 다회독에 최적화된 구성으로 학습 효과 극대화.
해커스 토익 실전 LC+RC 3 (모의고사+해설집),해커스 어학연구소,해커스어학연구소,17010,https://image.yes24.com/goods/140293414/XL,"2024년 하반기 출제경향 완벽 반영!
최신 경향을 반영한 실전모의고사 5회분으로 토익 실전 완벽 대비!
2024년 하반기 출제경향과 난이도를 완벽 반영한 실전모의고사 5회분으로 실전 감각을 극대화할 수 있다. [최신 토익 경향] 코너를 통해 최근 출제 포인트를 파악하고 실전에 대비할 수 있다. 친절하고 자세한 해설을 통해 모든 문제를 확실하게 이해할 수 있다. [6가지 버전의 MP3]를 제공하여 토익 실전에 완벽하게 대비할 수 있다. [수준별 맞춤 학습플랜+점수 환산표+Review 체크리스트]로 맞춤형 학습 관리가 가능하다."
컴선생 여우님 컴퓨터와 인사하기 윈도우 11,해람북스 기획팀,해람북스,9000,https://image.yes24.com/goods/140293360/XL,"“컴퓨터 방과후 수업 전문교재”
「컴선생 여우님」 시리즈는 컴퓨터에 대해 모르는 것이 없는 선생님이 똑 부러지게 컴퓨터를 가르친다는 콘셉트로 구성된 컴퓨터 방과후 수업 전문교재입니다.
지나친 따라하기를 배제하여 교재의 페이지를 줄이고 선생님 재량껏 수업을 진행할 수 있도록 다양하고 재미있는 예제를 수록하였습니다. 초등학생의 가방에 쏙 들어갈 수 있도록 작은 판형과 교재의 무게를 가볍게 하였으며 각 교재마다 ‘학습지도안’ 등을 마련하여 표준 학습 모델을 제공하고 있습니다."
내 사랑 조카,박현정,목수책방,17100,https://image.yes24.com/goods/140293335/XL,"《내 사랑 조카 - 평범한 고모의 특별한 그림 일기》는 이런 책입니다! 
뇌 손상을 입고 태어난 장애인 조카를 오빠 부부와 함께 돌보게 된 작가가 하루하루 주어진 시간을 충실하게 살아 내는 조카와 보낸 일상을 글과 그림으로 기록했다. ‘조카를 돌보며 나를 돌보았다’고 고백하는 고모와 세상 그 어떤 아이보다 용감한 조카의 상부상조 성장기를 통해 ‘돌봄’의 의미를 묻는 따뜻한 그림책이다."
MASTER'S CHOICE 수리수문학,강태우,에듀피디(EDUPD),45000,https://image.yes24.com/goods/140293325/XL,7급 토목직 공무원·공기업 시험대비 교재.
슬기로운 주담대,김호선,열린인공지능,10500,https://image.yes24.com/goods/140293295/XL,"부동산 구매를 꿈꾸고 있지만, 복잡한 대출 과정에 망설이고 계신가요?
『슬기로운 주담대』는 그런 당신을 위한 완벽한 가이드이다. 이 책은 담보 대출의 모든 것을 쉽게 이해하고 적용할 수 있도록 돕는 실용적인 안내서이다. 『슬기로운 주담대』는 아파트 구매를 꿈꾸는 초보자들을 위한 필독서이다. 복잡한 금융 용어와 절차에 대한 두려움을 날려줄 최고의 안내서이다. 슬기로운 주담대는 단순한 대출 안내서를 넘어, 여러분의 첫 집을 손에 넣는 여정을 함께하는 동반자가 될 것이다. 부동산 구매라는 큰 결정을 앞두고 있다면, 이제 더 이상 두려워하지마라! 이 책과 함께라면, 당신의 꿈의 집이 가까워질 것이다."
2025 기합 화학 기출문제집,박찬혁,서울고시각,21600,https://image.yes24.com/goods/140293118/XL,공무원 시험을 준비하면서 기출문제는 아주 중요하다. 기출문제는 학습의 방향을 제시하여 출제경향과 방향을 알 수 있는 기준이 되기 때문이다. 이 책으로 반복 학습을 하다 보면 화학의 흐름을 손쉽게 알 수 있고 실제 출제된 다양한 문제들을 접해봄으로써 스스로 출제경향과 난이도를 파악할 수 있을 것이다. 본 교재로 학습하는 수험생에게 합격의 영광이 있기를 바란다.
